Level1 -  [65, 4]
Level1 -  [78, 4]
Level1 -  [69, 4]
Level1 -  [62, 4]
Level1 -  [69, 4]
Teleporter: Level1 -  [95, 25]
Teleporter: Level1 -  [95, 25]
Teleporter: Level1 -  [95, 25]
Teleporter: Level1 -  [95, 25]
Teleporter: Level1 -  [95, 25]
Teleporter: Level1 -  [95, 25]
Teleporter: Level1 -  [95, 25]
Teleporter: Level1 -  [95, 25]
Level2 - 00:26 [9, 15]
Teleporter: Level2 - 00:59 [11, 43]
Teleporter: Level2 - 00:59 [11, 43]
Teleporter: Level2 - 00:59 [11, 43]
Teleporter: Level2 - 00:59 [11, 43]
Teleporter: Level2 - 00:59 [11, 43]
Teleporter: Level2 - 00:59 [11, 43]
Level3 - 00:31 [5, 14]
Level3 - 01:08 [23, 22]
Level3 - 01:20 [28, 22]
Level3 - 02:37 [26, 22]
Level3 - 02:47 [24, 22]
Level3 - 02:53 [27, 22]
Level3 - 02:05 [26, 22]
Level3 - 02:23 [37, 28]
Teleporter: Level3 - 02:27 [33, 38]
Teleporter: Level3 - 02:27 [33, 38]
Teleporter: Level3 - 02:27 [33, 38]
Teleporter: Level3 - 02:27 [33, 38]
Teleporter: Level3 - 02:27 [33, 38]
Teleporter: Level3 - 02:27 [33, 38]
Teleporter: Level3 - 02:27 [33, 38]
Teleporter: Level3 - 02:27 [33, 38]
Teleporter: Level3 - 02:27 [33, 38]
Teleporter: Level3 - 02:27 [33, 38]
Level4 - 00:12 [27, 19]
Level4 - 00:20 [27, 12]
Level4 - 00:25 [32, 24]
Level4 - 00:32 [27, 19]
Level4 - 00:40 [24, 10]
Level4 - 00:45 [30, 26]
Level4 - 00:54 [34, 3]
Level4 - 01:05 [40, 3]
Level4 - 01:12 [27, 12]
Level4 - 01:20 [23, 10]
Level4 - 01:29 [34, 3]
Level4 - 02:43 [34, 3]
Level4 - 02:56 [34, 3]
Level4 - 02:04 [23, 10]
Level4 - 02:12 [27, 19]
Level4 - 03:36 [40, 3]
Level4 - 03:42 [27, 19]
Level4 - 03:54 [46, 3]
Level4 - 03:02 [27, 18]
Level4 - 03:24 [38, 3]
Level4 - 04:31 [27, 19]
Level4 - 04:34 [39, 29]
