Level2 - 00:15 [28, 12]
Level2 - 02:00 [15, 20]
Level2 - 02:00 [27, 28]
Level2 - 03:00 [29, 12]
Level2 - 03:03 [28, 12]
Level2 - 03:03 [10, 20]
Level2 - 04:00 [21, 34]
Level2 - 04:00 [21, 12]
Level2 - 04:04 [29, 12]
Level2 - 07:07 [29, 12]
Level2 - 08:08 [30, 28]
Level2 - 08:00 [19, 12]
Level2 - 08:08 [20, 12]
Level2 - 09:00 [18, 37]
Level2 - 10:00 [24, 20]
Level2 - 10:00 [16, 12]
Level2 - 10:10 [17, 12]
Level2 - 10:10 [28, 12]
Level2 - 11:11 [32, 28]
Level2 - 12:00 [27, 28]
Level2 - 13:00 [41, 36]
Teleporter: Level2 - 14:14 [29, 41]
Teleporter: Level2 - 14:14 [29, 41]
Teleporter: Level2 - 14:14 [29, 41]
Teleporter: Level2 - 14:14 [29, 41]
Teleporter: Level2 - 14:14 [29, 41]
Teleporter: Level2 - 14:14 [29, 41]
Teleporter: Level2 - 14:14 [29, 41]
Teleporter: Level2 - 14:14 [29, 41]
Teleporter: Level2 - 14:14 [29, 41]
Teleporter: Level2 - 14:14 [29, 41]
